COFIPS, STATEFIPS
-1,-1
53009,53
53009,53
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
53009,53
53009,53
53009,53
53009,53
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
41015,41
41015,41
41015,41
41011,41
-1,-1
-1,-1
-1,-1
53031,53
53009,53
53009,53
53009,53
-1,-1
-1,-1
6023,6
6023,6
6023,6
-1,-1
-1,-1
41015,41
41015,41
41015,41
41015,41
41015,41
41015,41
41015,41
41011,41
41011,41
41011,41
-1,-1
-1,-1
53027,53
53031,53
53031,53
53031,53
53009,53
53009,53
53009,53
-1,-1
-1,-1
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
-1,-1
-1,-1
6015,6
6015,6
41015,41
41015,41
41015,41
41015,41
41015,41
41015,41
41015,41
41011,41
41011,41
41011,41
41011,41
41011,41
41011,41
41019,41
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
53027,53
53027,53
53027,53
53031,53
53031,53
53031,53
53009,53
53009,53
53009,53
-1,-1
-1,-1
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6015,6
6015,6
6015,6
6015,6
41015,41
41015,41
41015,41
41015,41
41015,41
41011,41
41011,41
41011,41
41011,41
41011,41
41011,41
41011,41
41011,41
41019,41
41019,41
41039,41
41039,41
41039,41
41041,41
41041,41
41041,41
41041,41
41041,41
-1,-1
-1,-1
53049,53
-1,-1
53049,53
-1,-1
53027,53
-1,-1
53027,53
53027,53
53027,53
53027,53
53031,53
53031,53
53031,53
53009,53
53009,53
-1,-1
-1,-1
6045,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6015,6
6015,6
6015,6
6015,6
41015,41
41015,41
41015,41
41033,41
41015,41
41015,41
41011,41
41011,41
41011,41
41011,41
41011,41
41011,41
41011,41
41019,41
41019,41
41039,41
41039,41
41039,41
41041,41
41041,41
41041,41
41041,41
41041,41
41041,41
41057,41
41057,41
41057,41
41057,41
41057,41
41057,41
41007,41
41007,41
-1,-1
41007,41
53049,53
53049,53
-1,-1
-1,-1
53027,53
-1,-1
53027,53
53027,53
53027,53
53027,53
53031,53
53031,53
53031,53
53009,53
53009,53
-1,-1
-1,-1
6045,6
6045,6
-1,-1
-1,-1
6045,6
6045,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6015,6
6015,6
6015,6
6015,6
41033,41
41033,41
41033,41
41033,41
41033,41
41015,41
41011,41
41019,41
41011,41
41011,41
41011,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41041,41
41041,41
41041,41
41041,41
41041,41
41041,41
41057,41
41057,41
41057,41
41057,41
41057,41
41057,41
41007,41
41007,41
41007,41
41007,41
53049,53
53049,53
53049,53
53049,53
53027,53
53027,53
53027,53
53027,53
53027,53
53027,53
53031,53
53031,53
53031,53
53009,53
53009,53
-1,-1
-1,-1
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6015,6
6093,6
6015,6
6093,6
6015,6
41033,41
41033,41
41033,41
41033,41
41033,41
41033,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41003,41
41041,41
41041,41
41041,41
41053,41
41053,41
41053,41
41071,41
41057,41
41057,41
41057,41
41057,41
41007,41
41007,41
41007,41
41007,41
53069,53
53049,53
53049,53
53049,53
53027,53
53027,53
53027,53
53027,53
53027,53
53027,53
53031,53
53031,53
53031,53
53009,53
53009,53
-1,-1
-1,-1
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6023,6
6023,6
6023,6
6023,6
6023,6
6023,6
6105,6
6105,6
6023,6
6023,6
6023,6
6093,6
6093,6
6093,6
6093,6
6015,6
41033,41
41033,41
41033,41
41033,41
41033,41
41033,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41003,41
41003,41
41003,41
41003,41
41053,41
41053,41
41053,41
41071,41
41057,41
41057,41
41057,41
41057,41
41007,41
41007,41
41007,41
41007,41
53069,53
53049,53
53049,53
53049,53
53027,53
53027,53
53027,53
53027,53
53027,53
53027,53
53031,53
53031,53
53031,53
53009,53
53009,53
-1,-1
-1,-1
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6023,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41033,41
41033,41
41033,41
41033,41
41033,41
41033,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41003,41
41003,41
41003,41
41003,41
41053,41
41053,41
41053,41
41071,41
41071,41
41067,41
41057,41
41067,41
41007,41
41007,41
41007,41
41007,41
53069,53
53049,53
53049,53
53049,53
53027,53
53027,53
53027,53
53045,53
53045,53
53045,53
53045,53
53031,53
53031,53
53009,53
53009,53
-1,-1
6097,6
6097,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41033,41
41033,41
41033,41
41033,41
41033,41
41033,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41003,41
41003,41
41003,41
41003,41
41053,41
41053,41
41053,41
41071,41
41071,41
41067,41
41067,41
41067,41
41009,41
41009,41
41009,41
53069,53
53069,53
53041,53
53041,53
53041,53
53027,53
53027,53
53027,53
53045,53
53045,53
53045,53
53045,53
53031,53
53031,53
53009,53
53009,53
-1,-1
6097,6
6097,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6045,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41043,41
41043,41
41043,41
41003,41
41053,41
41053,41
41053,41
41071,41
41071,41
41067,41
41067,41
41067,41
41009,41
41009,41
41009,41
53015,53
53015,53
53041,53
53041,53
53041,53
53027,53
53027,53
53067,53
53045,53
53045,53
53045,53
53045,53
53031,53
53031,53
53009,53
53009,53
-1,-1
-1,-1
-1,-1
6097,6
6097,6
6097,6
6097,6
6097,6
6045,6
6033,6
6045,6
6045,6
6033,6
6045,6
6045,6
6045,6
6045,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41039,41
41039,41
41043,41
41043,41
41043,41
41043,41
41047,41
41053,41
41047,41
41071,41
41071,41
41067,41
41067,41
41067,41
41009,41
41009,41
41009,41
53015,53
53015,53
53041,53
53041,53
53041,53
53067,53
53067,53
53067,53
53045,53
53045,53
53045,53
53045,53
53031,53
53031,53
53009,53
53009,53
-1,-1
-1,-1
-1,-1
-1,-1
6041,6
6041,6
6041,6
6097,6
6097,6
6097,6
6097,6
6033,6
6033,6
6033,6
6033,6
6033,6
6045,6
6045,6
6103,6
6045,6
6103,6
6103,6
6089,6
6105,6
6105,6
6105,6
6105,6
6105,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41039,41
41039,41
41043,41
41043,41
41043,41
41043,41
41047,41
41047,41
41047,41
41047,41
41071,41
41067,41
41067,41
41067,41
41009,41
41009,41
41009,41
53015,53
53015,53
53041,53
53041,53
53041,53
53067,53
53067,53
53067,53
53067,53
53045,53
53045,53
53035,53
53031,53
53031,53
53031,53
53031,53
-1,-1
-1,-1
-1,-1
6041,6
6041,6
6097,6
6097,6
6097,6
6097,6
6097,6
6033,6
6033,6
6033,6
6033,6
6033,6
6033,6
6021,6
6103,6
6103,6
6103,6
6103,6
6103,6
6089,6
6105,6
6105,6
6105,6
6105,6
6105,6
6105,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41019,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41039,41
41039,41
41043,41
41043,41
41043,41
41043,41
41047,41
41047,41
41047,41
41047,41
41005,41
41067,41
41067,41
41051,41
41009,41
41009,41
53015,53
53015,53
53015,53
53041,53
53041,53
53041,53
53067,53
53067,53
53067,53
-1,-1
-1,-1
53045,53
53035,53
53031,53
-1,-1
53031,53
53031,53
-1,-1
-1,-1
-1,-1
-1,-1
6041,6
6041,6
6041,6
6097,6
6097,6
6097,6
6097,6
6033,6
6033,6
6033,6
6033,6
6011,6
6021,6
6021,6
6021,6
6103,6
6103,6
6103,6
6103,6
6103,6
6089,6
6089,6
6089,6
6105,6
6105,6
6105,6
6105,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41039,41
41039,41
41043,41
41043,41
41043,41
41043,41
41047,41
41047,41
41005,41
41005,41
41005,41
41051,41
41051,41
53011,53
53011,53
53011,53
53015,53
53015,53
53015,53
53041,53
53041,53
53041,53
53067,53
53067,53
53053,53
-1,-1
-1,-1
53035,53
53035,53
53035,53
-1,-1
53031,53
53031,53
-1,-1
53073,53
53073,53
-1,-1
-1,-1
-1,-1
-1,-1
6041,6
6041,6
6097,6
6097,6
6097,6
6055,6
6033,6
6033,6
6033,6
6033,6
6033,6
6011,6
6021,6
6021,6
6021,6
6103,6
6103,6
6103,6
6103,6
6103,6
6089,6
6089,6
6089,6
6089,6
6089,6
6105,6
6105,6
6105,6
6093,6
6093,6
6093,6
6093,6
6093,6
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41019,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41039,41
41039,41
41043,41
41043,41
41043,41
41043,41
41047,41
41047,41
41005,41
41005,41
41005,41
41005,41
41051,41
53011,53
53011,53
53011,53
53015,53
53015,53
53015,53
53041,53
53041,53
53041,53
53067,53
53053,53
53053,53
53053,53
-1,-1
53035,53
53035,53
53035,53
53035,53
-1,-1
-1,-1
53029,53
-1,-1
-1,-1
53073,53
53073,53
-1,-1
-1,-1
-1,-1
-1,-1
6081,6
6081,6
6081,6
-1,-1
-1,-1
-1,-1
6097,6
6097,6
6055,6
6055,6
6055,6
6033,6
6033,6
6011,6
6011,6
6011,6
6021,6
6021,6
6021,6
6103,6
6103,6
6103,6
6103,6
6103,6
6089,6
6089,6
6089,6
6089,6
6089,6
6089,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41019,41
41019,41
41019,41
41019,41
41039,41
41039,41
41039,41
41039,41
41039,41
41039,41
41043,41
41043,41
41043,41
41043,41
41047,41
41005,41
41005,41
41005,41
41005,41
41005,41
41051,41
53011,53
53011,53
53011,53
53015,53
53015,53
53015,53
53041,53
53041,53
53041,53
53067,53
53053,53
53053,53
53053,53
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
53057,53
53057,53
53073,53
53073,53
53073,53
-1,-1
-1,-1
6081,6
6081,6
6081,6
6081,6
-1,-1
6001,6
6013,6
-1,-1
6055,6
6055,6
6055,6
6055,6
6055,6
6055,6
6011,6
6011,6
6011,6
6011,6
6021,6
6021,6
6021,6
6103,6
6103,6
6103,6
6103,6
6103,6
6089,6
6089,6
6089,6
6089,6
6089,6
6089,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
6093,6
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41029,41
41019,41
