Index,Group,Column1,Row1,Column2,Row2,Column3,Row3
1,"Aquaculture consumptive use, fresh, in Mgal/d",,,,,,
2,"Aquaculture consumptive use, saline, in Mgal/d",,,,,,
3,"Aquaculture self-supplied groundwater withdrawals, fresh, in Mgal/d",F,31,,,,
4,"Aquaculture self-supplied groundwater withdrawals, saline, in Mgal/d",F,28,,,,
5,"Aquaculture self-supplied surface-water withdrawals, fresh, in Mgal/d",F,30,,,,
6,"Aquaculture self-supplied surface-water withdrawals, saline, in Mgal/d",F,27,,,,
7,"Aquaculture total consumptive use, in Mgal/d",,,,,,
8,"Aquaculture total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
9,"Aquaculture total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
10,"Aquaculture total self-supplied withdrawals, in Mgal/d",,,,,,
11,"Aquaculture total self-supplied withdrawals, saline, in Mgal/d",,,,,,
12,"Aquaculture total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
13,"Commercial consumptive use, fresh, in Mgal/d",,,,,,
14,"Commercial consumptive use, saline, in Mgal/d",,,,,,
15,"Commercial deliveries from public supply, in Mgal/d",S,33,,,,
16,"Commercial reclaimed wastewater, in Mgal/d",,,,,,
17,"Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d",S,31,,,,
18,"Commercial self-supplied groundwater withdrawals, saline, in Mgal/d",S,28,,,,
19,"Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d",S,30,,,,
20,"Commercial self-supplied surface-water withdrawals, saline, in Mgal/d",S,27,,,,
21,"Commercial total consumptive use, in Mgal/d",,,,,,
22,"Commercial total self-supplied withdrawals plus deliveries, in Mgal/d",,,,,,
23,"Commercial total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
24,"Commercial total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
25,"Commercial total self-supplied withdrawals, in Mgal/d",,,,,,
26,"Commercial total self-supplied withdrawals, saline, in Mgal/d",,,,,,
27,"Commercial total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
28,"Domestic consumptive use, fresh, in Mgal/d",,,,,,
29,"Domestic consumptive use, saline, in Mgal/d",,,,,,
30,"Domestic deliveries from public supply, in Mgal/d",T,33,,,,
31,"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d",T,31,,,,
32,"Domestic self-supplied groundwater withdrawals, saline, in Mgal/d",T,28,,,,
33,"Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d",T,30,,,,
34,"Domestic self-supplied surface-water withdrawals, saline, in Mgal/d",T,27,,,,
35,"Domestic total consumptive use, in Mgal/d",,,,,,
36,"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d",,,,,,
37,"Domestic total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
38,"Domestic total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
39,"Domestic total self-supplied withdrawals, in Mgal/d",,,,,,
40,"Domestic total self-supplied withdrawals, saline, in Mgal/d",,,,,,
41,"Domestic total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
42,"Fossil-fuel Thermoelectric Power consumptive use, fresh, in Mgal/d",,,,,,
43,"Fossil-fuel Thermoelectric Power consumptive use, saline, in Mgal/d",,,,,,
44,"Fossil-fuel Thermoelectric Power deliveries from public supply, in Mgal/d",H,33,,,,
45,"Fossil-fuel Thermoelectric Power reclaimed wastewater, in Mgal/d",,,,,,
46,"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",H,17,H,31,U,37
47,"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",H,28,,,,
48,"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",H,17,H,30,U,37
49,"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",H,27,,,,
50,"Fossil-fuel Thermoelectric Power total consumptive use, in Mgal/d",,,,,,
51,"Fossil-fuel Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",,,,,,
52,"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
53,"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
54,"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, in Mgal/d",,,,,,
55,"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",,,,,,
56,"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
57,"Geothermal Thermoelectric Power consumptive use, fresh, in Mgal/d",,,,,,
58,"Geothermal Thermoelectric Power consumptive use, saline, in Mgal/d",,,,,,
59,"Geothermal Thermoelectric Power deliveries from public supply, in Mgal/d",K,33,,,,
60,"Geothermal Thermoelectric Power reclaimed wastewater, in Mgal/d",,,,,,
61,"Geothermal Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",K,18,K,31,U,37
62,"Geothermal Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",K,28,,,,
63,"Geothermal Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",K,17,K,30,U,37
64,"Geothermal Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",K,27,,,,
65,"Geothermal Thermoelectric Power total consumptive use, in Mgal/d",,,,,,
66,"Geothermal Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",,,,,,
67,"Geothermal Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
68,"Geothermal Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
69,"Geothermal Thermoelectric Power total self-supplied withdrawals, in Mgal/d",,,,,,
70,"Geothermal Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",,,,,,
71,"Geothermal Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
72,"Hydroelectric Power instream water use, in Mgal/d",L,17,L,30,U,37
73,"Hydroelectric Power offstream surface-water withdrawals, fresh, in Mgal/d",L,17,L,30,U,37
74,"Hydroelectric Power surface water self-supplied offstream withdrawals, saline, in Mgal/d",L,27,,,,
75,Hydroelectric Power total offstream surface-water withdrawals in Mgal/d,,,,,,
76,"Industrial consumptive use, fresh, in Mgal/d",,,,,,
77,"Industrial consumptive use, saline, in Mgal/d",,,,,,
78,"Industrial deliveries from public supply, in Mgal/d",Q,33,,,,
79,"Industrial reclaimed wastewater, in Mgal/d",Q,34,,,,
80,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d",Q,31,,,,
81,"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",Q,28,,,,
