Longitude,Latitude,Runoff,Precip,ET,SoilMoisture
-124.6875,47.9375,1938.66882324,2773.75854492,813.500061035,12572.2998047
-124.6875,48.0625,1873.64306641,2704.9831543,807.676025391,12533.8007812
-124.6875,48.1875,1789.57592773,2627.83544922,812.026062012,12444.0009766
-124.6875,48.3125,1871.34899902,2629.9765625,737.44708252,11756.7011719
-124.6875,48.4375,1927.54492188,2704.03076172,758.246948242,11898.4003906
-124.5625,42.6875,1724.95202637,1971.22888184,299.37298584,13062.2001953
-124.5625,42.8125,1254.14807129,1801.44836426,825.119995117,11284.7011719
-124.5625,42.9375,1123.44091797,1785.83203125,908.418029785,10991.2001953
-124.5625,47.8125,1869.74902344,2740.20458984,849.70501709,12444.6992188
-124.5625,47.9375,1928.08605957,2760.06005859,810.164001465,12549.5996094
-124.5625,48.0625,1998.30200195,2817.89111328,795.028991699,12631.0009766
-124.5625,48.1875,1969.67785645,2800.94482422,806.736022949,12613.1005859
-124.5625,48.3125,2154.93017578,2937.58740234,767.559997559,11953.3007812
-124.4375,40.4375,718.87902832,1307.59106445,605.88293457,5365.10009766
-124.4375,42.1875,1384.3269043,1930.04614258,852.245056152,11311.9003906
-124.4375,42.3125,1505.28210449,2143.06713867,948.45300293,11345.0009766
-124.4375,42.4375,1448.82800293,2032.67834473,872.479003906,11381.9003906
-124.4375,42.5625,1401.43701172,1989.64538574,877.451049805,11249.4003906
-124.4375,42.6875,1516.83312988,2120.88720703,903.301025391,11454.8994141
-124.4375,42.8125,1466.14685059,2037.82727051,855.062988281,11500.2998047
-124.4375,42.9375,1334.72290039,1923.91748047,830.508972168,11438.2988281
-124.4375,43.0625,876.613952637,1578.17651367,919.724975586,10594.7998047
-124.4375,43.1875,789.260009766,1476.31677246,897.959960938,10428.5986328
-124.4375,43.3125,945.237915039,1506.43603516,791.914916992,10877.4990234
-124.4375,47.6875,2015.27294922,2914.71923828,880.076965332,12576.2998047
-124.4375,47.8125,2049.70996094,2908.66943359,836.693969727,13140.3007812
-124.4375,47.9375,2151.48901367,3011.48364258,840.559997559,12635.8994141
-124.4375,48.0625,2125.67089844,2953.95800781,803.176025391,12691.1005859
-124.4375,48.1875,2015.27905273,2845.55517578,799.365966797,12621.5996094
-124.4375,48.3125,1777.46411133,2593.83032227,782.299926758,12360.8007812
-124.3125,40.1875,1516.45788574,2197.82763672,690.833007812,4888.0
-124.3125,40.3125,1312.45898438,1956.14880371,654.699951172,4897.89990234
-124.3125,40.4375,925.596984863,1495.14367676,584.772949219,5478.69970703
-124.3125,40.5625,645.069030762,1222.57727051,618.200012207,4623.79980469
-124.3125,40.6875,446.458984375,961.41973877,667.597961426,4308.0
-124.3125,42.0625,1631.81408691,2138.76367188,799.292053223,11746.8994141
-124.3125,42.1875,1855.85302734,2448.06811523,888.551940918,11794.1005859
-124.3125,42.3125,1782.0098877,2402.05175781,900.95300293,11748.8994141
-124.3125,42.4375,1972.72509766,2613.00048828,875.733032227,11998.7011719
-124.3125,42.5625,1456.97497559,2129.77978516,974.276000977,11152.4980469
-124.3125,42.6875,1809.05297852,2477.48999023,951.531921387,11674.0996094
-124.3125,42.8125,1660.95507812,2313.28442383,943.877929688,11583.2001953
-124.3125,42.9375,1286.79382324,1916.41003418,908.523986816,11256.1992188
-124.3125,43.0625,797.981994629,1540.24072266,975.850036621,10339.8007812
-124.3125,43.1875,741.373046875,1435.38964844,906.890014648,10251.1992188
-124.3125,43.3125,810.076965332,1447.12890625,852.761047363,10513.3007812
-124.3125,43.4375,1093.78100586,1513.79528809,596.763061523,11755.0009766
-124.3125,47.3125,1520.46911621,2286.734375,786.46496582,12158.5996094
-124.3125,47.4375,1773.48706055,2581.97070312,804.692993164,12428.3994141
-124.3125,47.5625,2013.73303223,2833.86254883,812.6640625,12621.8994141
-124.3125,47.6875,2178.60302734,3035.54003906,842.79498291,13324.9003906
-124.3125,47.8125,2078.16113281,2931.25830078,827.494995117,12620.4990234
-124.3125,47.9375,2453.26611328,3290.75708008,817.003967285,11987.0996094
-124.3125,48.0625,2343.07299805,3182.99853516,814.922973633,12829.1005859
-124.3125,48.1875,2028.66589355,2800.00048828,740.113037109,11834.7001953
-124.3125,48.3125,1358.69897461,2265.9831543,839.726013184,11708.2011719
-124.1875,40.0625,899.28302002,1600.83544922,705.268981934,4016.89990234
-124.1875,40.1875,1556.56201172,2247.265625,698.680053711,4323.10009766
